Early Bird, steady, 9077.474699999999, 17162.0259
Early Bird, sprinter, 11097.166799999999, 16149.1365
Maximillion, steady, 6053.150299999999, 12106.9817
Maximillion, sprinter, 11097.166799999999, 18176.0885
Oreo Milkshake, steady, 15142.6251, 26239.301900000002
Oreo Milkshake, sprinter, 9077.474699999999, 16149.1365
Neighvana, steady, 8063.8896, 15142.6251
Neighvana, sprinter, 7055.0993, 13121.7417
Spray Tan, steady, 9077.474699999999, 16149.1365
Spray Tan, sprinter, 7055.0993, 13121.7417
Chillhooves, steady, 6053.150299999999, 12106.9817
Chillhooves, sprinter, 8063.8896, 14132.452
Sad horse, steady, 14132.452, 27247.8273
Sad horse, sprinter, 8063.8896, 15142.6251
10, steady, 7055.0993, 13121.7417
10, sprinter, 4034.8363000000004, 9077.474699999999
11, steady, 8063.8896, 14132.452
11, sprinter, 5044.9971, 9077.474699999999
12, steady, 16149.1365, 30280.1225
12, sprinter, 5044.9971, 7055.0993
13, steady, 9077.474699999999, 18176.0885
13, sprinter, 4034.8363000000004, 7055.0993
14, steady, 6053.150299999999, 11097.166799999999
14, sprinter, 5044.9971, 9077.474699999999
Thunder Dash, steady, 7055.0993, 14132.452
Thunder Dash, sprinter, 7055.0993, 12106.9817
Steady Star, steady, 8063.8896, 14132.452
Steady Star, sprinter, 8063.8896, 15142.6251
Final Sprint, steady, 10086.1207, 18176.0885
Final Sprint, sprinter, 9077.474699999999, 16149.1365
Early Bird, steady, 11097.166799999999, 21201.9481
Early Bird, sprinter, 8063.8896, 14132.452
Maximillion, steady, 7055.0993, 13121.7417
Maximillion, sprinter, 8063.8896, 13121.7417
Oreo Milkshake, steady, 7055.0993, 14132.452
Oreo Milkshake, sprinter, 8063.8896, 14132.452
Neighvana, steady, 9077.474699999999, 17162.0259
Neighvana, sprinter, 7055.0993, 12106.9817
Spray Tan, steady, 16149.1365, 29267.84
Spray Tan, sprinter, 5044.9971, 9077.474699999999
Chillhooves, steady, 12106.9817, 22212.526100000003
Chillhooves, sprinter, 5044.9971, 9077.474699999999
Sad horse, steady, 10086.1207, 18176.0885
